Precinct,WESLEY HUNT,VIRGIL JOHN BIERSCHWALE,JOHN O. ADEFOPE,JOHN CORNYN,ANNA BENDER,SARA CANADY,"GULREZ ""GUS"" KHAN",KEN PAXTON,Cast Votes,Undervotes,Overvotes,Mail Ballots,Early Voting,Election Day,EV Provisional,ED Provisional,Total Ballots Cast,Registered Voters,Turnout %
187,1,0,0,1,0,0,0,3,5,0,0,0,1,4,0,0,5,0,0
188,8,0,0,21,4,2,0,18,53,2,0,2,35,18,0,0,55,0,0
189,37,0,0,83,1,0,0,58,179,2,0,2,96,83,0,0,181,0,0
190,9,0,0,22,1,1,2,28,63,1,0,1,35,28,0,0,64,0,0
191,12,1,0,14,2,1,0,14,44,0,0,1,22,21,0,0,44,0,0
192,4,0,0,4,0,0,1,3,12,0,0,1,5,6,0,0,12,0,0
193,2,0,2,0,0,0,0,2,6,1,0,0,4,3,0,0,7,0,0
194,19,0,3,45,3,0,1,23,94,2,0,0,36,59,1,0,96,0,0
195,20,1,0,6,0,1,0,18,46,0,0,1,25,20,0,0,46,0,0
196,1,0,0,6,0,1,0,3,11,0,0,0,6,5,0,0,11,0,0
197,7,1,0,2,1,1,0,3,15,0,0,0,7,7,1,0,15,0,0
198,0,0,0,1,0,0,1,2,4,0,0,0,3,1,0,0,4,0,0
199,106,2,2,224,9,1,3,270,617,10,0,42,397,187,0,1,627,0,0
200,18,0,0,76,1,0,2,63,160,1,0,4,102,54,1,0,161,0,0
201,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,2,0,0
202,6,0,0,4,0,0,0,4,14,0,0,0,6,8,0,0,14,0,0
203,4,0,0,3,0,0,0,8,15,0,0,0,11,4,0,0,15,0,0
204,117,0,1,207,7,3,1,156,492,3,0,30,272,192,1,0,495,0,0
205,4,0,0,2,0,0,0,4,10,0,0,1,5,4,0,0,10,0,0
206,41,1,0,52,2,1,3,49,149,5,0,1,85,67,1,0,154,0,0
207,20,2,1,27,0,1,0,32,83,0,0,1,54,28,0,0,83,0,0
208,11,0,0,31,1,2,0,28,73,2,0,1,36,38,0,0,75,0,0
209,11,0,1,19,1,0,1,19,52,1,0,0,36,17,0,0,53,0,0
210,7,1,1,19,0,1,0,10,39,0,0,2,18,19,0,0,39,0,0
211,28,3,5,51,2,2,2,57,150,11,0,2,73,86,0,0,161,0,0
212,6,0,1,7,0,1,0,5,20,1,0,0,17,4,0,0,21,0,0
213,259,1,1,411,2,3,2,227,906,3,0,10,635,264,0,0,909,0,0
214,69,0,0,106,2,1,2,91,271,5,0,8,173,95,0,0,276,0,0
215,38,0,2,128,1,4,2,102,277,2,0,7,166,105,1,0,279,0,0
216,4,0,0,6,1,1,0,3,15,1,0,1,11,4,0,0,16,0,0
217,90,1,0,327,2,1,0,68,489,3,0,21,251,219,1,0,492,0,0
218,23,0,2,42,1,1,1,49,119,3,0,6,78,38,0,0,122,0,0
219,13,0,0,8,0,0,1,10,32,3,0,2,17,16,0,0,35,0,0
220,19,2,0,52,5,0,0,106,184,3,0,2,112,73,0,0,187,0,0
221,24,1,2,54,4,2,1,55,143,2,0,6,72,67,0,0,145,0,0
222,55,0,1,211,0,4,0,41,312,1,0,16,164,133,0,0,313,0,0
223,5,0,3,30,1,2,0,14,55,2,0,6,32,19,0,0,57,0,0
224,44,1,0,92,0,1,2,60,200,2,0,11,91,98,0,2,202,0,0
225,17,0,0,15,1,1,2,10,46,1,0,2,27,17,0,1,47,0,0
226,15,1,2,20,4,2,0,21,65,1,0,0,43,23,0,0,66,0,0
227,68,0,3,258,0,0,0,58,387,1,0,17,254,117,0,0,388,0,0
228,3,0,0,6,0,1,1,3,14,0,0,0,7,7,0,0,14,0,0
229,2,0,0,11,0,1,0,9,23,0,0,2,9,12,0,0,23,0,0
230,1,0,0,0,1,0,0,4,6,0,0,0,3,3,0,0,6,0,0
231,8,1,0,16,4,7,0,25,61,2,0,3,28,31,1,0,63,0,0
232,44,0,0,129,0,1,0,62,236,0,0,9,101,126,0,0,236,0,0
233,34,0,2,121,2,2,0,58,219,2,0,15,123,82,1,0,221,0,0
234,160,0,1,569,2,3,2,227,964,8,1,46,626,298,2,1,973,0,0
235,7,2,0,11,1,0,1,8,30,1,0,0,21,10,0,0,31,0,0
236,5,0,0,3,0,0,0,2,10,0,0,1,6,3,0,0,10,0,0
237,1,1,0,1,0,0,0,2,5,0,0,1,1,3,0,0,5,0,0
238,3,0,1,4,0,0,0,5,13,0,0,0,8,5,0,0,13,0,0
239,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,2,0,0
