precinct,count_precinct
415.0,2182.0
416.0,3437.0
417.0,1221.0
418.0,4456.0
419.0,2944.0
420.0,5266.0
421.0,2600.0
422.0,3657.0
423.0,1547.0
424.0,1570.0
425.0,1217.0
426.0,1300.0
427.0,1432.0
428.0,2743.0
429.0,3163.0
430.0,1730.0
431.0,4309.0
432.0,1648.0
433.0,567.0
434.0,2125.0
435.0,3662.0
436.0,4446.0
437.0,2751.0
438.0,4068.0
439.0,4743.0
440.0,3158.0
441.0,1760.0
442.0,4501.0
443.0,690.0
444.0,3340.0
445.0,2365.0
446.0,353.0
447.0,1827.0
448.0,3607.0
450.0,2690.0
451.0,2926.0
452.0,3398.0
453.0,1270.0
454.0,2400.0
455.0,1525.0
456.0,4736.0
458.0,2281.0
459.0,4065.0
460.0,4472.0
461.0,5052.0
462.0,2987.0
463.0,2245.0
464.0,2751.0
465.0,4132.0
466.0,4402.0
467.0,1399.0
468.0,4776.0
469.0,3526.0
470.0,1472.0
471.0,2769.0
472.0,1194.0
473.0,1887.0
474.0,1060.0
475.0,1404.0
476.0,1311.0
477.0,4889.0
478.0,3934.0
479.0,4192.0
480.0,3006.0
481.0,4250.0
482.0,4423.0
483.0,5317.0
484.0,4407.0
485.0,4560.0
486.0,4652.0
487.0,4350.0
488.0,2016.0
489.0,2028.0
490.0,2249.0
491.0,3015.0
492.0,2753.0
493.0,3731.0
494.0,3583.0
495.0,2715.0
496.0,2528.0
497.0,778.0
498.0,1842.0
499.0,2589.0
500.0,4297.0
501.0,2491.0
502.0,3348.0
503.0,2940.0
504.0,2433.0
505.0,4588.0
506.0,3616.0
507.0,2528.0
508.0,5125.0
509.0,1977.0
510.0,4183.0
511.0,3972.0
512.0,5258.0
513.0,3147.0
514.0,4721.0
515.0,3214.0
516.0,2951.0
517.0,3218.0
518.0,4479.0
519.0,3268.0
520.0,299.0
521.0,3309.0
522.0,3498.0
523.0,3924.0
524.0,3857.0
525.0,3379.0
526.0,903.0
527.0,640.0
528.0,1730.0
529.0,4388.0
530.0,1237.0
531.0,2607.0
532.0,1186.0
533.0,1218.0
534.0,1752.0
535.0,437.0
536.0,4282.0
537.0,3391.0
538.0,2431.0
539.0,2265.0
540.0,2747.0
541.0,1950.0
542.0,2868.0
543.0,1824.0
544.0,282.0
545.0,2287.0
546.0,2591.0
547.0,2672.0
548.0,2612.0
549.0,3080.0
550.0,3334.0
551.0,3102.0
552.0,4354.0
553.0,3452.0
554.0,1807.0
555.0,2105.0
556.0,2623.0
557.0,3180.0
558.0,1585.0
559.0,5317.0
560.0,1237.0
561.0,3621.0
562.0,713.0
563.0,3646.0
564.0,3917.0
565.0,1345.0
566.0,3157.0
567.0,3207.0
568.0,3736.0
569.0,5061.0
570.0,1633.0
571.0,1812.0
572.0,3668.0
573.0,1581.0
574.0,440.0
575.0,5072.0
576.0,3353.0
577.0,2182.0
578.0,2105.0
579.0,1287.0
580.0,930.0
581.0,946.0
582.0,1819.0
583.0,1256.0
584.0,3200.0
585.0,2486.0
586.0,3617.0
587.0,4134.0
588.0,4518.0
589.0,3143.0
590.0,2286.0
591.0,2522.0
592.0,2634.0
593.0,5003.0
594.0,1910.0
595.0,2122.0
596.0,4980.0
597.0,3190.0
598.0,3270.0
599.0,825.0
600.0,4652.0
601.0,4337.0
602.0,1773.0
603.0,3647.0
604.0,3828.0
605.0,2157.0
606.0,932.0
607.0,1383.0
608.0,1138.0
609.0,4298.0
610.0,2762.0
611.0,2423.0
612.0,3498.0
613.0,2549.0
614.0,3845.0
615.0,2911.0
616.0,3413.0
617.0,4849.0
618.0,4644.0
619.0,4977.0
620.0,4062.0
621.0,1592.0
622.0,5074.0
623.0,4747.0
624.0,3991.0
625.0,3975.0
626.0,5108.0
627.0,3306.0
628.0,2661.0
629.0,517.0
630.0,5366.0
631.0,3315.0
